From,To,Datetime,Duration(seconds),Cell Tower,ID
172,375,20060601 1615,1410,29,20029
131,11,20060601 1616,783,22,20022
29,188,20060601 1617,800,25,20025
130,168,20060601 1617,1384,28,20028
114,5,20060601 1618,1463,30,20030
73,122,20060601 1619,1138,21,20021
92,383,20060601 1620,1330,30,20030
326,90,20060601 1620,266,18,20018
71,82,20060601 1621,1397,29,20029
395,175,20060601 1621,584,11,20011
44,7,20060601 1622,1189,21,20021
227,1,20060601 1626,1458,29,20029
243,320,20060601 1626,1011,1,20001
310,61,20060601 1626,1076,29,20029
264,229,20060601 1628,1373,29,20029
3,208,20060601 1629,1288,30,20030
180,5,20060601 1629,1220,10,20010
95,19,20060601 1632,944,27,20027
43,127,20060601 1633,747,15,20015
53,36,20060601 1639,1231,28,20028
223,160,20060601 1639,1445,30,20030
224,34,20060601 1639,794,24,20024
50,34,20060601 1642,896,11,20011
174,158,20060601 1642,931,2,20002
104,83,20060601 1643,918,26,20026
187,66,20060601 1644,1236,30,20030
194,291,20060601 1644,1041,19,20019
317,379,20060601 1646,1597,30,20030
376,20,20060601 1647,789,13,20013
119,259,20060601 1649,1082,20,20020
221,174,20060601 1649,1247,20,20020
305,293,20060601 1651,1105,6,20006
361,189,20060601 1652,1481,28,20028
255,87,20060601 1654,1091,28,20028
348,5,20060601 1656,984,23,20023
94,362,20060601 1657,527,6,20006
346,120,20060601 1659,1296,28,20028
172,1,20060601 1700,747,29,20029
363,380,20060601 1700,982,29,20029
87,255,20060601 1701,1188,11,20011
385,179,20060601 1704,1064,6,20006
143,52,20060601 1706,908,28,20028
84,2,20060601 1710,980,11,20011
130,14,20060601 1711,975,28,20028
167,1,20060601 1711,1468,15,20015
247,103,20060601 1711,974,25,20025
315,32,20060601 1711,1427,29,20029
121,8,20060601 1714,1391,28,20028
286,92,20060601 1717,1840,11,20011
324,18,20060601 1717,810,22,20022
196,1,20060601 1718,818,11,20011
0,48,20060601 1720,1476,7,20007
383,92,20060601 1720,1259,10,20010
180,5,20060601 1721,951,10,20010
260,299,20060601 1721,1148,29,20029
57,61,20060601 1722,965,11,20011
161,235,20060601 1722,1079,30,20030
272,215,20060601 1725,564,11,20011
41,280,20060601 1726,854,28,20028
91,185,20060601 1726,1136,30,20030
213,126,20060601 1726,993,25,20025
7,238,20060601 1728,1786,29,20029
321,3,20060601 1728,968,16,20016
18,249,20060601 1729,1306,21,20021
116,16,20060601 1729,389,30,20030
146,322,20060601 1729,1042,1,20001
224,34,20060601 1729,1007,24,20024
295,26,20060601 1729,1174,30,20030
104,11,20060601 1730,1790,26,20026
265,24,20060601 1731,540,29,20029
73,41,20060601 1732,1639,21,20021
258,34,20060601 1735,1066,29,20029
396,81,20060601 1735,1044,18,20018
334,1,20060601 1736,814,11,20011
16,246,20060601 1738,1258,11,20011
295,3,20060601 1738,1000,30,20030
21,129,20060601 1742,1079,28,20028
47,206,20060601 1742,1200,28,20028
363,42,20060601 1742,1464,29,20029
69,387,20060601 1743,844,17,20017
350,19,20060601 1743,1091,24,20024
241,80,20060601 1745,1352,28,20028
176,148,20060601 1747,1192,18,20018
14,335,20060601 1748,455,18,20018
311,1,20060601 1748,1015,25,20025
96,292,20060601 1750,666,6,20006
167,290,20060601 1751,1066,15,20015
215,93,20060601 1751,1072,29,20029
394,199,20060601 1751,1243,10,20010
130,14,20060601 1753,1399,28,20028
287,213,20060601 1753,1003,11,20011
335,65,20060601 1753,845,10,20010
284,2,20060601 1757,1079,22,20022
221,174,20060601 1758,1183,20,20020
82,49,20060601 1801,900,13,20013
135,12,20060601 1801,937,13,20013
213,287,20060601 1801,978,8,20008
282,13,20060601 1801,483,14,20014
299,52,20060601 1801,1617,16,20016
191,178,20060601 1802,1400,22,20022
256,134,20060601 1802,1375,14,20014
198,308,20060601 1803,1722,19,20019
241,23,20060601 1804,1222,28,20028
82,71,20060601 1805,508,15,20015
95,7,20060601 1806,847,11,20011
50,0,20060601 1807,1034,15,20015
164,55,20060601 1807,553,11,20011
257,27,20060601 1809,1633,11,20011
78,331,20060601 1812,1104,4,20004
2,54,20060601 1815,1051,29,20029
87,103,20060601 1815,1108,15,20015
248,0,20060601 1817,1204,16,20016
377,92,20060601 1817,979,13,20013
40,19,20060601 1818,1164,1,20001
175,158,20060601 1819,1293,30,20030
242,46,20060601 1820,869,29,20029
57,61,20060601 1825,1078,15,20015
219,146,20060601 1826,1397,21,20021
303,131,20060601 1827,1046,26,20026
247,261,20060601 1828,1073,2,20002
256,134,20060601 1828,1070,14,20014
374,13,20060601 1828,1205,13,20013
369,320,20060601 1831,1060,22,20022
102,75,20060601 1832,419,13,20013
142,81,20060601 1832,914,29,20029
307,84,20060601 1835,795,7,20007
108,13,20060601 1836,1158,9,20009
202,323,20060601 1836,723,22,20022
246,5,20060601 1836,636,17,20017
267,231,20060601 1837,1022,15,20015
313,97,20060601 1837,723,13,20013
128,75,20060601 1839,1378,11,20011
97,211,20060601 1841,1417,22,20022
323,367,20060601 1841,973,10,20010
228,92,20060601 1842,1461,2,20002
162,17,20060601 1843,1216,30,20030
248,7,20060601 1844,1524,16,20016
137,286,20060601 1845,558,11,20011
255,87,20060601 1846,592,4,20004
135,0,20060601 1848,704,13,20013
135,0,20060601 1848,1117,13,20013
211,97,20060601 1848,1133,15,20015
364,260,20060601 1850,1246,1,20001
188,70,20060601 1851,1561,29,20029
266,30,20060601 1851,1014,11,20011
388,19,20060601 1851,736,15,20015
265,24,20060601 1853,760,9,20009
256,1,20060601 1854,1127,14,20014
273,162,20060601 1854,1426,29,20029
46,242,20060601 1855,861,30,20030
